Fixation Duration (mean), Fixation Duration (variance), Fixation Duration (standard deviation), Fixation Rate (per second), Fixation Slope, Number of VSEditor Fixations, Number of VSExplorer Fixations, Number of VSOutput Fixations, Number of Short Saccades, Number of Medium Saccades, Number of Long Saccades, Follow Direction Count, Neighbouring Direction Count, Opposite Direction Count, Sector4 Right Count, Sector4 Up Count, Sector4 Left Count, Sector4 Down Count
566.703703703704, 486764.42, 697.685043554755, 1.73333333333333, 0.000750362803896568, 0, 0, 0, 10, 9, 6, 6, 7, 11, 9, 3, 9, 4, WATCH
445.588235294118, 120853.710227273, 347.640202259855, 2.2, 0.121798224680959, 0, 0, 0, 16, 12, 4, 14, 7, 10, 10, 2, 15, 5, WATCH
470.5, 216874.625806452, 465.697998499512, 2.06666666666667, 0.217075895607775, 0, 0, 0, 20, 10, 0, 12, 11, 6, 9, 4, 11, 6, WATCH
492.096774193548, 129431.431034483, 359.765800256893, 2, 0.0650153962622491, 0, 0, 0, 21, 8, 0, 9, 6, 13, 12, 3, 12, 2, WATCH
445.088235294118, 40453.1268939394, 201.129627091434, 2.2, 0.102758336501382, 0, 0, 0, 25, 7, 0, 11, 6, 14, 9, 2, 18, 3, WATCH
523.448275862069, 232148.126984127, 481.817524571416, 1.86666666666667, -0.0806453316151144, 0, 0, 0, 16, 10, 1, 10, 6, 10, 6, 4, 13, 4, WATCH
544.75, 243165.148148148, 493.117783240625, 1.8, 0.0641796543746348, 0, 0, 0, 11, 13, 2, 7, 7, 11, 9, 2, 10, 5, WATCH
472.666666666667, 93990.2540322581, 306.578300002231, 2.13333333333333, 0.0312106918292364, 0, 0, 0, 14, 15, 2, 7, 12, 11, 14, 2, 11, 4, WATCH
539.464285714286, 126584.641025641, 355.787353661764, 1.8, -0.118798283009945, 0, 0, 0, 11, 13, 2, 7, 7, 11, 14, 2, 8, 2, WATCH
684.130434782609, 491908.279220779, 701.361732076094, 1.46666666666667, 0.0377917391257612, 0, 0, 0, 10, 9, 2, 4, 4, 12, 10, 2, 8, 1, WATCH
604.8, 450626.608695652, 671.287277322945, 1.6, 0.0379833102266684, 0, 0, 0, 13, 9, 1, 7, 4, 11, 11, 2, 9, 1, WATCH
1029.57142857143, 2472136.05, 1572.30278572545, 0.952380952380952, 0.031033697344433, 0, 0, 0, 11, 8, 0, 6, 4, 8, 10, 1, 7, 1, WATCH
1312.41666666667, 3978572.81818182, 1994.63601145217, 0.733333333333333, 0.114918091779922, 0, 0, 0, 3, 6, 1, 0, 4, 5, 5, 1, 3, 1, WATCH
485.161290322581, 86418.8505747126, 293.97083286393, 2, 0.0800496569855332, 0, 0, 0, 10, 17, 2, 5, 16, 7, 7, 5, 12, 5, WATCH
644.958333333333, 248894.272727273, 498.893047383177, 1.53333333333333, 0.0105582686338379, 0, 0, 0, 13, 9, 0, 4, 12, 5, 7, 5, 7, 3, WATCH
639.5, 241421.039525692, 491.346150413018, 1.53333333333333, 0.0666378318438545, 0, 0, 0, 7, 13, 2, 1, 11, 9, 7, 5, 6, 4, WATCH
508.733333333333, 69530.921182266, 263.687165372655, 1.93333333333333, 0.0607800583261463, 0, 0, 0, 8, 17, 3, 2, 9, 16, 10, 3, 11, 4, WATCH
489.190476190476, 56825.7131578947, 238.381444659384, 2, 0.255559775305532, 0, 0, 0, 9, 7, 3, 3, 4, 11, 7, 0, 10, 2, WATCH
